Comando;    Significado

$;          Ejecuta macro
account;    Env�a comando a la cuenta del servidor remoto
append;     Concatena un archivo
bell;       Sonido de campanilla cuando el comando se ha completado
case;       Mapeo de letras iguales
cdup;       Cambiar al directorio padre en el servidor remoto
cr;         Retorno de carro
debug;      Configura modo de errores
form;       Configurar formato de transferencia de archivos
glob;       Transponer nombre de archivo local con un metacar�cter
hash;       Imprimir el metacar�cter ""#"" por cada buffer transferido"
idle;       Configurar el tiempo disponible en el lado remoto
image;      Para configurar y transferir archivos tipo binario
less;       Ver el contenido de un archivo pudiendo subir y bajar por el mismo mediante las flechas
macdef;     Define una macro
mdir;       Lista contenido de varios directorios remotos
mls;        Lista contenido de varios directorios remotos
mode;       Configura el modo de transferencia
modtime;    Modo de reloj
newer;      Recibe el archivo remoto si es m�s nuevo que el de la m�quina local
nlist;      Lista el contenido de varios directorios remotos
nmap;       Configura nombre de archivo de acuerdo a plantilla
ntrans;     Configura tabla de traducci�n para mapeo de nombres de archivos
prompt;     Fuerza la ejecuci�n de m�ltiples comandos
proxy;      Comando para conexi�n alternativa
sendport;   Activa/desactiva use del comando PORT para cada conexi�n de de datos
set;
site;       Envia un comando espec�fico a la m�quina remota
size;       Muestra el tama�o de un archivo
struct;     Configura la estructra de la transferencia de los archivos
sunique;    Activa/desactiva almacenamiento �nico sobre la m�quina remota
tenex;      Transferencia de archivos de tipo tenex
trace;      Activa/desactiva trazado de transferencia de paquetes
type;       Configura el tipo de archivo a transferir
user;       Envia informaci�n de usuario nuevo
verbose;    Activa/Desactiva modo de entrega de informaci�n completa
